session_id,partner_key,dispatch_date,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_cost,delivery_rating
123,PRTN-111,03-05-2024,two day,north,foggy,27.5,15.43,no,delivered,183.79,5
125,PRTN-113,29-09-2024,express,north,cold,290.2,29.26,no,delivered,1588.78,4
128,PRTN-116,28-08-2024,two day,central,rainy,115.6,13.57,no,delivered,618.71,5
134,PRTN-112,12-10-2024,same day,west,hot,127.8,20.03,no,delivered,799.09,3
135,PRTN-122,08-05-2024,two day,east,cold,45.8,27.22,no,delivered,310.66,5
141,PRTN-127,04-09-2024,standard,north,cold,132.5,14.18,no,delivered,705.04,4
144,PRTN-129,12-12-2024,same day,west,cold,113.8,21.95,no,delivered,734.85,3
146,PRTN-131,09-02-2024,two day,north,rainy,60.1,40.63,no,delivered,422.39,3
154,PRTN-138,26-02-2024,same day,south,cold,280.3,15.29,no,delivered,1547.37,4
156,PRTN-139,07-05-2024,same day,west,clear,279.9,21.63,yes,failed,1564.39,2
158,PRTN-140,26-01-2024,two day,central,cold,29.9,47.31,no,delivered,291.43,3
159,PRTN-067,20-06-2024,standard,north,hot,42.6,44.55,no,delivered,346.65,4
163,PRTN-063,06-03-2024,express,west,clear,93.0,9.37,no,delivered,543.11,4
172,PRTN-147,31-05-2024,express,north,hot,297.1,22.0,no,delivered,1615.5,5
177,PRTN-093,03-07-2024,two day,central,hot,129.5,39.84,no,delivered,767.02,4
179,PRTN-152,08-10-2024,standard,south,stormy,289.7,24.36,no,delivered,1521.58,5
201,PRTN-173,26-09-2024,express,east,stormy,208.8,22.83,yes,delayed,1162.49,2
215,PRTN-184,26-11-2024,same day,south,stormy,157.3,4.51,yes,delayed,900.03,2
223,PRTN-190,12-03-2024,standard,north,cold,289.7,19.13,no,delivered,1505.89,5
228,PRTN-194,28-10-2024,express,east,hot,225.4,22.3,no,delivered,1243.9,5
229,PRTN-190,27-02-2024,express,south,clear,36.9,45.45,yes,delayed,370.85,3
234,PRTN-199,25-10-2024,standard,central,foggy,267.0,26.49,no,delivered,1414.47,3
236,PRTN-201,19-05-2024,same day,east,stormy,10.6,42.68,no,delivered,281.04,5
238,PRTN-203,07-07-2024,two day,north,stormy,129.5,13.38,no,delivered,687.64,4
241,PRTN-113,20-09-2024,two day,west,stormy,163.5,19.83,no,delivered,876.99,5
244,PRTN-206,26-05-2024,standard,south,clear,138.7,43.15,no,delivered,822.95,5
245,PRTN-207,07-10-2024,same day,south,foggy,127.5,41.92,no,delivered,863.26,5
247,PRTN-061,01-08-2024,express,central,foggy,297.1,2.64,yes,delayed,1551.92,3
252,PRTN-212,13-06-2024,standard,north,clear,197.4,47.42,no,delivered,1129.26,5
253,PRTN-213,08-07-2024,same day,central,foggy,150.6,22.4,no,delivered,920.2,4
258,PRTN-009,21-02-2024,standard,central,foggy,150.8,39.64,no,delivered,872.92,3
259,PRTN-164,25-09-2024,standard,central,clear,86.6,16.17,no,delivered,481.51,5
265,PRTN-204,13-12-2024,same day,east,clear,100.0,33.34,no,delivered,700.02,3
268,PRTN-222,25-03-2024,standard,east,clear,160.6,48.08,no,delivered,947.24,4
280,PRTN-227,23-08-2024,standard,central,foggy,109.6,49.52,no,delivered,696.68,5
282,PRTN-198,28-07-2024,two day,south,hot,116.0,45.04,no,delivered,715.12,4
310,PRTN-242,01-01-2024,standard,north,hot,14.9,49.46,no,delivered,222.88,5
312,PRTN-244,03-03-2024,two day,north,hot,252.2,46.23,no,delivered,1399.69,4
316,PRTN-246,27-06-2024,two day,north,foggy,191.8,15.48,no,delivered,1005.44,3
317,PRTN-100,12-12-2024,two day,south,cold,60.6,4.14,no,delivered,315.42,3
325,PRTN-250,22-07-2024,express,east,foggy,15.8,4.79,no,delivered,143.37,4
327,PRTN-066,13-09-2024,same day,east,clear,115.1,33.73,no,delivered,776.69,3
329,PRTN-251,13-03-2024,standard,south,hot,291.8,38.8,no,delivered,1575.4,4
343,PRTN-155,03-12-2024,same day,east,clear,67.7,48.92,no,delivered,585.26,3
355,PRTN-062,27-08-2024,same day,central,foggy,111.2,34.93,no,delivered,760.79,4
365,PRTN-263,13-01-2024,same day,north,rainy,264.4,23.82,yes,delayed,1493.46,3
370,PRTN-005,14-02-2024,two day,north,cold,176.2,22.79,no,delivered,949.37,5
382,PRTN-129,03-12-2024,two day,south,hot,81.5,9.82,no,delivered,436.96,4
386,PRTN-114,13-03-2024,two day,west,foggy,51.3,12.1,no,delivered,292.8,5
387,PRTN-006,16-04-2024,two day,central,hot,297.1,42.42,no,delivered,1621.26,3
391,PRTN-273,21-10-2024,express,north,rainy,188.6,21.04,yes,delayed,1056.12,2
392,PRTN-172,24-03-2024,express,south,stormy,26.8,19.35,yes,delayed,242.05,3
399,PRTN-213,16-07-2024,standard,west,foggy,275.3,26.86,no,delivered,1457.08,4
402,PRTN-108,17-06-2024,express,east,cold,167.3,38.22,no,delivered,1001.16,4
412,PRTN-279,26-01-2024,standard,west,clear,57.8,7.31,no,delivered,310.93,4
420,PRTN-024,10-03-2024,express,central,hot,131.5,43.96,no,delivered,839.38,3
429,PRTN-058,25-02-2024,standard,west,clear,195.9,17.75,no,delivered,1032.75,3
433,PRTN-287,09-07-2024,express,west,clear,58.3,16.4,no,delivered,390.7,4
436,PRTN-222,22-04-2024,same day,south,hot,125.8,45.59,no,delivered,865.77,4
444,PRTN-020,10-09-2024,same day,south,stormy,77.0,8.6,no,delivered,510.8,3
446,PRTN-278,20-10-2024,two day,east,stormy,49.9,40.86,no,delivered,372.08,5
447,PRTN-254,21-12-2024,express,south,cold,38.8,46.55,no,delivered,383.65,5
448,PRTN-293,10-02-2024,same day,south,rainy,247.4,48.42,yes,delayed,1482.26,2
449,PRTN-294,05-02-2024,same day,south,hot,31.2,9.96,no,delivered,285.88,4
450,PRTN-254,07-12-2024,same day,west,clear,100.6,48.61,no,delivered,748.83,5
454,PRTN-296,20-02-2024,same day,north,foggy,139.7,9.7,no,delivered,827.6,4
455,PRTN-297,30-08-2024,two day,west,cold,257.6,8.83,no,delivered,1314.49,5
457,PRTN-206,08-06-2024,same day,west,clear,18.5,18.34,no,delivered,247.52,3
460,PRTN-083,26-04-2024,standard,central,foggy,32.4,1.8,no,delivered,167.4,5
461,PRTN-300,07-12-2024,two day,east,hot,185.1,40.6,no,delivered,1047.3,3
464,PRTN-280,23-05-2024,same day,west,stormy,108.2,24.92,no,delivered,715.76,4
477,PRTN-280,05-05-2024,two day,south,hot,181.3,24.66,no,delivered,980.48,5
479,PRTN-207,18-09-2024,same day,east,foggy,297.1,26.02,yes,failed,1632.7206,1
481,PRTN-309,18-11-2024,two day,south,cold,71.9,31.14,no,delivered,452.92,4
487,PRTN-228,31-07-2024,same day,north,hot,159.6,23.09,no,delivered,967.27,5
496,PRTN-314,10-10-2024,express,west,rainy,120.4,8.07,yes,delayed,676.21,3
499,PRTN-085,04-05-2024,two day,south,foggy,55.0,42.01,no,delivered,401.03,5
504,PRTN-227,30-07-2024,same day,central,clear,252.7,21.71,no,delivered,1428.63,5
506,PRTN-319,23-07-2024,two day,west,cold,84.1,46.82,no,delivered,560.96,5
510,PRTN-322,02-02-2024,express,east,clear,41.8,40.63,no,delivered,380.89,5
518,PRTN-211,12-08-2024,standard,east,foggy,51.9,46.22,no,delivered,398.16,4
527,PRTN-325,19-09-2024,two day,west,clear,18.0,10.84,no,delivered,122.52,4
529,PRTN-326,16-06-2024,standard,south,cold,76.0,43.71,no,delivered,511.13,5
532,PRTN-009,10-02-2024,two day,north,cold,163.6,33.15,no,delivered,917.45,5
534,PRTN-327,19-08-2024,standard,west,cold,218.4,47.59,no,delivered,1234.77,3
542,PRTN-277,20-02-2024,same day,south,clear,86.4,33.1,no,delivered,631.3,5
546,PRTN-334,31-03-2024,two day,central,stormy,32.6,30.39,no,delivered,254.17,5
548,PRTN-068,07-04-2024,two day,east,stormy,131.1,35.45,no,delivered,761.85,4
551,PRTN-335,20-01-2024,standard,north,rainy,253.8,47.66,no,delivered,1411.98,3
552,PRTN-309,17-11-2024,express,south,stormy,264.0,14.26,yes,delayed,1412.78,3
556,PRTN-339,10-04-2024,same day,south,cold,27.8,49.28,no,delivered,386.84,3
563,PRTN-325,25-09-2024,standard,north,clear,187.7,12.85,no,delivered,977.05,4
566,PRTN-108,04-07-2024,express,central,hot,236.5,21.26,yes,delayed,1296.28,2
570,PRTN-341,05-08-2024,same day,east,foggy,30.1,5.97,no,delivered,268.41,3
582,PRTN-343,01-10-2024,same day,central,hot,238.0,1.23,yes,delayed,1293.69,3
594,PRTN-347,03-01-2024,two day,south,foggy,224.4,36.19,no,delivered,1230.57,5
595,PRTN-235,18-01-2024,express,central,clear,244.9,34.83,yes,delayed,1378.99,3
599,PRTN-340,20-08-2024,same day,north,stormy,31.8,21.85,no,delivered,324.55,3
600,PRTN-349,06-04-2024,express,west,hot,238.2,29.75,no,delivered,1330.25,4
602,PRTN-350,05-03-2024,same day,south,clear,143.3,28.17,no,delivered,901.01,5
604,PRTN-324,12-07-2024,standard,north,rainy,77.4,24.17,no,delivered,459.51,4
615,PRTN-355,02-12-2024,standard,north,cold,215.3,27.73,no,delivered,1159.69,3
621,PRTN-053,18-09-2024,express,central,foggy,161.2,28.2,yes,delayed,940.6,2
624,PRTN-098,16-06-2024,two day,central,rainy,164.8,33.5,no,delivered,924.5,5
625,PRTN-347,13-01-2024,same day,east,foggy,36.8,5.67,no,delivered,301.01,3
626,PRTN-359,12-11-2024,standard,central,clear,24.7,47.66,no,delivered,266.48,5
627,PRTN-077,06-04-2024,same day,south,stormy,18.6,16.18,yes,delayed,241.54,3
629,PRTN-138,16-03-2024,two day,east,clear,201.9,26.33,no,delivered,1088.49,4
635,PRTN-363,04-11-2024,standard,central,clear,152.3,35.01,no,delivered,866.53,5
639,PRTN-352,12-07-2024,express,south,stormy,194.5,38.62,yes,failed,1138.36,2
646,PRTN-228,19-08-2024,two day,east,clear,27.5,28.6,no,delivered,223.3,5
649,PRTN-369,27-08-2024,two day,north,hot,78.5,21.57,no,delivered,457.21,4
659,PRTN-245,19-02-2024,standard,north,clear,219.9,36.7,no,delivered,1209.6,4
662,PRTN-106,26-09-2024,standard,west,clear,133.6,12.74,no,delivered,706.22,4
664,PRTN-374,21-02-2024,same day,east,foggy,265.5,12.16,no,delivered,1463.98,5
665,PRTN-050,19-01-2024,same day,east,foggy,266.0,4.54,no,delivered,1443.62,4
667,PRTN-178,27-02-2024,standard,north,rainy,123.2,19.69,no,delivered,675.07,4
670,PRTN-376,19-08-2024,same day,central,hot,27.2,24.1,no,delivered,308.3,5
679,PRTN-129,29-12-2024,express,north,cold,4.3,11.48,yes,delayed,105.94,2
680,PRTN-115,08-12-2024,express,south,stormy,128.7,49.08,yes,failed,840.74,1
698,PRTN-333,27-09-2024,express,central,cold,140.0,24.7,yes,delayed,824.1,3
700,PRTN-020,10-09-2024,express,central,hot,292.4,37.37,yes,delayed,1624.11,3
702,PRTN-277,04-03-2024,same day,south,cold,70.4,47.88,no,delivered,595.64,5
704,PRTN-386,27-12-2024,express,west,stormy,295.2,37.22,yes,delayed,1632.7206,3
712,PRTN-339,29-03-2024,express,south,foggy,41.5,17.76,no,delivered,310.78,5
713,PRTN-387,14-01-2024,two day,west,cold,274.6,19.84,no,delivered,1432.52,4
719,PRTN-388,26-07-2024,standard,west,hot,52.9,18.1,no,delivered,318.8,5
727,PRTN-391,28-02-2024,standard,north,hot,267.7,41.48,no,delivered,1462.94,5
735,PRTN-180,05-09-2024,two day,east,stormy,69.8,16.7,no,delivered,399.1,3
736,PRTN-042,05-06-2024,two day,central,rainy,90.4,34.31,no,delivered,554.93,4
740,PRTN-037,14-07-2024,two day,south,stormy,209.6,37.45,no,delivered,1160.35,4
742,PRTN-393,12-03-2024,express,east,clear,28.4,27.39,no,delivered,274.17,5
747,PRTN-396,09-10-2024,express,central,stormy,293.2,22.01,yes,delayed,1582.03,3
749,PRTN-397,12-05-2024,two day,south,hot,263.3,47.06,no,delivered,1457.68,3
760,PRTN-093,25-06-2024,same day,east,stormy,16.7,38.11,no,delivered,297.83,5
774,PRTN-102,04-06-2024,two day,east,cold,40.2,28.66,no,delivered,286.98,4
777,PRTN-041,21-11-2024,two day,west,clear,35.7,30.17,no,delivered,269.01,4
778,PRTN-217,27-07-2024,two day,east,stormy,264.4,6.21,yes,delayed,1340.63,2
779,PRTN-016,14-06-2024,same day,west,cold,162.7,10.53,no,delivered,945.09,4
786,PRTN-197,07-01-2024,standard,south,stormy,35.6,39.16,no,delivered,295.48,4
796,PRTN-315,21-02-2024,standard,east,clear,281.9,15.41,no,delivered,1455.73,5
799,PRTN-221,07-05-2024,standard,south,rainy,134.1,36.11,no,delivered,778.83,5
801,PRTN-282,29-03-2024,standard,central,hot,212.2,43.37,no,delivered,1191.11,4
802,PRTN-263,05-01-2024,two day,west,cold,271.2,24.43,no,delivered,1429.29,5
808,PRTN-087,13-10-2024,standard,east,hot,257.4,36.54,no,delivered,1396.62,4
811,PRTN-365,20-11-2024,express,south,foggy,287.8,2.47,yes,delayed,1496.41,3
814,PRTN-181,17-08-2024,express,north,rainy,129.3,0.67,yes,delayed,698.51,3
815,PRTN-086,13-09-2024,express,west,rainy,73.5,21.27,yes,delayed,481.31,3
817,PRTN-146,24-04-2024,standard,central,foggy,42.7,36.65,no,delivered,323.45,4
821,PRTN-118,04-07-2024,two day,central,foggy,84.5,27.89,no,delivered,506.17,5
822,PRTN-009,15-03-2024,express,west,foggy,45.3,34.79,yes,delayed,380.87,2
833,PRTN-287,02-07-2024,two day,east,stormy,178.2,19.55,no,delivered,949.65,4
836,PRTN-308,22-11-2024,two day,central,cold,24.5,35.61,no,delivered,229.33,4
838,PRTN-372,02-07-2024,express,west,rainy,102.4,4.43,yes,delayed,575.29,3
847,PRTN-391,15-03-2024,standard,south,hot,201.7,45.45,no,delivered,1144.85,4
864,PRTN-092,12-05-2024,same day,west,clear,72.2,27.69,no,delivered,544.07,5
869,PRTN-209,28-12-2024,same day,central,stormy,164.4,29.67,no,delivered,1011.01,4
874,PRTN-415,08-05-2024,standard,west,clear,141.4,48.15,no,delivered,851.45,5
875,PRTN-375,27-04-2024,standard,east,clear,43.5,49.52,no,delivered,366.51,4
877,PRTN-014,05-10-2024,two day,central,foggy,113.6,32.81,no,delivered,666.43,3
882,PRTN-263,22-01-2024,two day,west,stormy,247.4,1.77,no,delivered,1242.31,5
889,PRTN-108,06-07-2024,two day,south,cold,78.3,39.38,no,delivered,509.64,3
892,PRTN-034,12-06-2024,standard,east,rainy,45.4,26.63,no,delivered,306.89,5
894,PRTN-002,08-10-2024,two day,west,rainy,258.7,33.94,no,delivered,1395.32,4
895,PRTN-118,07-07-2024,express,north,foggy,241.0,20.68,yes,delayed,1317.04,2
899,PRTN-304,03-11-2024,two day,west,rainy,285.6,48.14,no,delivered,1572.42,4
900,PRTN-417,16-12-2024,express,east,rainy,271.9,5.96,yes,delayed,1427.38,3
907,PRTN-093,14-07-2024,express,east,foggy,124.4,36.51,yes,delayed,781.53,2
910,PRTN-420,24-10-2024,express,south,cold,66.4,22.41,no,delivered,449.23,4
912,PRTN-027,13-02-2024,two day,south,hot,48.1,38.8,no,delivered,356.9,5
915,PRTN-421,28-05-2024,two day,south,rainy,230.2,5.68,no,delivered,1168.04,5
916,PRTN-199,27-10-2024,two day,north,hot,121.8,19.36,no,delivered,667.08,5
921,PRTN-141,24-02-2024,standard,east,cold,237.8,25.55,no,delivered,1265.65,4
928,PRTN-283,18-11-2024,same day,north,hot,267.3,0.67,no,delivered,1438.48,3
930,PRTN-240,27-08-2024,same day,south,cold,182.2,4.15,yes,delayed,1023.45,3
936,PRTN-216,09-05-2024,same day,east,clear,209.7,12.46,yes,failed,1185.88,1
941,PRTN-004,23-01-2024,two day,east,stormy,11.3,28.0,no,delivered,140.5,4
949,PRTN-294,13-01-2024,express,north,clear,148.8,35.59,yes,delayed,900.77,2
951,PRTN-431,26-01-2024,two day,south,rainy,42.8,19.57,no,delivered,272.71,4
959,PRTN-170,21-10-2024,standard,west,foggy,141.6,32.59,no,delivered,805.77,4
966,PRTN-355,21-11-2024,express,north,cold,256.0,32.37,no,delivered,1427.11,4
973,PRTN-370,28-11-2024,same day,south,hot,246.7,42.23,no,delivered,1460.19,4
975,PRTN-431,13-01-2024,express,central,clear,115.3,35.9,no,delivered,734.2,3
983,PRTN-117,03-06-2024,express,central,hot,65.0,29.74,no,delivered,464.22,5
984,PRTN-098,14-06-2024,express,west,clear,293.3,25.79,no,delivered,1593.87,5
986,PRTN-393,27-02-2024,two day,central,rainy,211.0,45.44,no,delivered,1191.32,3
988,PRTN-233,02-03-2024,two day,north,stormy,72.3,26.97,no,delivered,442.41,4
994,PRTN-375,26-03-2024,same day,north,rainy,103.1,32.72,no,delivered,713.66,4
999,PRTN-034,17-07-2024,two day,west,rainy,64.5,17.16,no,delivered,373.98,5
1002,PRTN-401,11-01-2024,standard,east,hot,95.5,7.72,no,delivered,500.66,5
1008,PRTN-100,15-12-2024,standard,north,cold,57.6,39.84,no,delivered,407.52,5
1011,PRTN-130,29-07-2024,same day,north,hot,62.7,33.66,no,delivered,514.48,5
1012,PRTN-082,01-07-2024,express,south,rainy,115.2,23.74,yes,failed,697.22,2
1024,PRTN-344,19-11-2024,standard,central,clear,113.3,27.87,no,delivered,650.11,3
1026,PRTN-409,29-04-2024,express,west,foggy,185.8,11.26,yes,failed,1012.78,1
1028,PRTN-311,01-11-2024,express,north,foggy,253.3,3.67,yes,delayed,1327.51,3
1037,PRTN-007,21-05-2024,same day,east,hot,33.3,45.69,no,delivered,403.57,3
1041,PRTN-308,21-11-2024,standard,west,clear,115.8,10.0,no,delivered,609.0,3
1058,PRTN-354,20-11-2024,two day,east,clear,101.2,3.43,no,delivered,516.29,4
1062,PRTN-316,19-04-2024,standard,east,cold,221.3,16.7,no,delivered,1156.6,5
1064,PRTN-057,19-09-2024,express,north,rainy,255.3,9.95,yes,delayed,1356.35,3
1077,PRTN-239,05-02-2024,standard,central,foggy,230.3,1.26,no,delivered,1155.28,4
1079,PRTN-439,27-12-2024,two day,west,stormy,41.1,35.29,no,delivered,311.37,3
1099,PRTN-259,27-01-2024,standard,east,stormy,76.0,25.53,no,delivered,456.59,3
1112,PRTN-430,19-10-2024,same day,west,hot,79.2,40.35,no,delivered,617.05,4
1118,PRTN-080,26-01-2024,express,south,cold,16.3,14.77,yes,delayed,175.81,2
1121,PRTN-186,21-04-2024,two day,east,rainy,113.9,15.09,no,delivered,614.77,5
1123,PRTN-321,09-12-2024,same day,west,rainy,21.7,0.67,no,delivered,210.18,4
1128,PRTN-103,11-12-2024,standard,west,clear,233.8,14.03,no,delivered,1211.09,4
1133,PRTN-156,12-10-2024,express,south,hot,259.6,27.43,yes,delayed,1430.29,2
1137,PRTN-022,22-01-2024,standard,west,cold,243.0,17.72,no,delivered,1268.16,4
1140,PRTN-268,04-01-2024,two day,north,clear,148.6,23.48,no,delivered,813.44,3
1142,PRTN-254,20-11-2024,two day,east,foggy,14.0,47.44,no,delivered,212.32,4
1144,PRTN-396,26-09-2024,two day,west,foggy,5.7,49.23,no,delivered,176.19,5
1148,PRTN-083,23-03-2024,two day,north,hot,59.6,21.9,no,delivered,363.7,4
1149,PRTN-094,07-01-2024,same day,central,stormy,117.8,12.54,yes,failed,726.62,1
1155,PRTN-304,12-10-2024,express,east,stormy,12.8,13.84,yes,failed,155.52,1
1172,PRTN-110,12-06-2024,express,west,clear,83.3,30.51,yes,failed,558.03,1
1174,PRTN-055,24-01-2024,two day,north,rainy,29.3,6.55,no,delivered,166.15,4
1178,PRTN-282,16-04-2024,express,south,hot,292.1,22.48,no,delivered,1577.94,5
1179,PRTN-285,29-10-2024,same day,east,rainy,125.0,23.79,yes,delayed,796.37,2
1180,PRTN-348,20-07-2024,same day,north,stormy,91.8,5.74,no,delivered,576.22,4
1181,PRTN-337,08-05-2024,standard,north,foggy,95.3,1.19,no,delivered,480.07,4
1185,PRTN-082,28-06-2024,express,north,hot,262.0,45.72,yes,delayed,1497.16,3
1189,PRTN-418,22-05-2024,two day,east,foggy,83.5,20.13,no,delivered,477.89,5
1202,PRTN-173,02-10-2024,two day,west,rainy,282.1,49.52,no,delivered,1559.66,4
1203,PRTN-058,02-03-2024,express,north,clear,186.7,43.47,yes,delayed,1113.91,2
1205,PRTN-171,30-05-2024,express,central,clear,143.8,21.72,yes,delayed,834.16,2
1206,PRTN-338,03-01-2024,standard,south,hot,134.6,41.26,no,delivered,796.78,4
1221,PRTN-428,31-05-2024,express,west,rainy,153.2,10.88,yes,failed,848.64,1
1225,PRTN-408,20-01-2024,express,west,hot,73.3,18.19,no,delivered,471.07,5
1226,PRTN-447,29-12-2024,express,east,stormy,7.8,15.43,yes,delayed,135.29,2
1228,PRTN-212,03-07-2024,express,south,hot,4.9,28.79,no,delivered,160.87,3
1229,PRTN-294,08-02-2024,standard,north,foggy,146.9,23.74,no,delivered,805.72,4
1230,PRTN-078,28-06-2024,express,central,stormy,199.2,44.98,yes,failed,1180.94,2
1234,PRTN-448,13-02-2024,two day,central,clear,170.3,25.46,no,delivered,927.88,3
1236,PRTN-280,17-05-2024,express,east,stormy,194.0,8.71,yes,failed,1046.13,2
1239,PRTN-449,17-08-2024,two day,south,foggy,119.2,23.99,no,delivered,667.97,5
1242,PRTN-326,16-06-2024,standard,north,cold,267.8,16.79,no,delivered,1389.37,5
1246,PRTN-390,30-10-2024,two day,south,stormy,16.8,18.45,no,delivered,139.35,3
1248,PRTN-262,27-10-2024,express,central,stormy,113.9,26.14,yes,delayed,697.92,2
1251,PRTN-063,13-03-2024,two day,north,rainy,83.6,2.87,no,delivered,426.61,4
1255,PRTN-284,20-08-2024,express,north,foggy,6.7,39.35,yes,delayed,201.55,2
1260,PRTN-451,03-07-2024,same day,west,hot,216.6,49.4,no,delivered,1331.2,5
1262,PRTN-034,18-06-2024,same day,north,stormy,96.0,46.9,yes,delayed,720.7,3
1268,PRTN-024,07-03-2024,express,central,rainy,75.1,24.75,yes,failed,499.75,1
1269,PRTN-437,12-02-2024,standard,north,cold,101.7,7.28,no,delivered,530.34,5
1275,PRTN-350,17-03-2024,two day,south,cold,229.9,37.17,no,delivered,1261.01,4
1276,PRTN-448,14-02-2024,express,north,stormy,293.2,31.23,yes,delayed,1609.69,3
1280,PRTN-403,21-04-2024,two day,south,cold,221.4,25.39,no,delivered,1183.17,4
1291,PRTN-353,10-01-2024,two day,north,stormy,136.5,13.61,no,delivered,723.33,4
1293,PRTN-417,17-12-2024,two day,east,cold,193.8,22.92,no,delivered,1037.76,5
1295,PRTN-293,25-02-2024,two day,west,stormy,28.1,36.38,no,delivered,249.64,5
1296,PRTN-422,12-09-2024,express,central,rainy,39.6,24.39,yes,failed,321.17,1
1297,PRTN-200,05-07-2024,express,south,stormy,138.7,4.24,yes,delayed,756.22,2
1300,PRTN-070,03-03-2024,same day,central,cold,249.7,24.62,yes,delayed,1422.36,3
1303,PRTN-454,10-10-2024,express,south,foggy,241.4,47.45,yes,delayed,1399.35,2
1306,PRTN-132,24-03-2024,express,south,rainy,248.7,12.91,yes,delayed,1332.23,3
1317,PRTN-450,19-11-2024,same day,east,hot,100.7,30.64,no,delivered,695.42,4
1319,PRTN-335,13-01-2024,express,north,clear,108.9,16.85,no,delivered,645.05,4
1321,PRTN-431,09-01-2024,two day,east,rainy,48.6,0.67,no,delivered,244.38,5
1330,PRTN-140,02-02-2024,two day,central,foggy,292.3,11.9,no,delivered,1497.2,5
1334,PRTN-031,10-07-2024,two day,central,clear,179.5,33.77,no,delivered,998.81,4
1336,PRTN-242,30-01-2024,two day,west,hot,30.3,43.62,no,delivered,282.36,5
1338,PRTN-057,11-09-2024,express,north,rainy,230.8,5.53,no,delivered,1220.59,4
1348,PRTN-243,15-07-2024,express,central,cold,36.9,39.37,no,delivered,352.61,5
1352,PRTN-263,21-01-2024,express,north,foggy,22.7,15.32,no,delivered,209.46,3
1355,PRTN-428,09-05-2024,standard,north,foggy,131.5,25.69,no,delivered,734.57,4
1356,PRTN-334,03-04-2024,express,west,stormy,115.9,10.57,yes,delayed,661.21,3
1366,PRTN-032,04-09-2024,same day,north,stormy,164.6,22.27,yes,delayed,989.81,2
1367,PRTN-293,07-03-2024,standard,east,clear,54.4,22.32,no,delivered,338.96,4
1372,PRTN-240,22-08-2024,two day,east,clear,278.5,41.85,no,delivered,1518.05,5
1375,PRTN-408,04-02-2024,standard,south,clear,238.9,48.79,no,delivered,1340.87,4
1378,PRTN-189,24-09-2024,standard,west,clear,266.0,2.73,no,delivered,1338.19,4
1384,PRTN-459,23-09-2024,express,north,stormy,91.0,4.5,yes,failed,518.5,1
1387,PRTN-460,09-05-2024,two day,north,cold,210.3,27.97,no,delivered,1135.41,3
1388,PRTN-062,30-08-2024,same day,east,cold,288.0,0.67,yes,delayed,1541.62,2
1396,PRTN-265,12-06-2024,express,west,stormy,244.1,10.99,yes,delayed,1303.47,2
1404,PRTN-287,12-07-2024,two day,east,hot,13.8,18.17,no,delivered,123.51,5
1405,PRTN-272,13-07-2024,standard,west,hot,164.8,15.31,no,delivered,869.93,5
1406,PRTN-459,25-09-2024,two day,south,cold,283.0,37.66,no,delivered,1527.98,4
1410,PRTN-276,02-05-2024,express,east,cold,77.5,33.25,no,delivered,537.25,3
1411,PRTN-206,02-06-2024,standard,east,clear,37.2,11.97,no,delivered,221.91,5
1421,PRTN-218,22-09-2024,standard,central,stormy,200.8,27.5,no,delivered,1086.5,4
